dataset,id,Lon,Lat,HF,IsoCorrAnomaly,MeanCurv,SI_TopoIso,LAB,LAB_LitMod,LAB_LitMod_Aus17,LAB_AN1,Moho,Moho_AN1,Moho_AN1_Aus17_Afr,Moho_LitMod_Aus17_Afr,Topo,Tectonics,Ridge,Transform,Trench,YoungRift,Volcanos,MagAnomaly,Sus,Sus_AN1,Sus_AN1_Aus17_Afr,Sus_LitMod_Aus17_Afr,Bz5,Bz400,Curie,Methane,IceTopography,x,y
test,2302,133.69942,-16.5,68,4.504368534,-0.000895491,-0.145945962,184.4061075,184.4061075,215.7340834,184.4061075,46.16974022,46.16974022,44.64437324,44.64437324,252.6281999,1,1886.39594,1680.61276,931.5559807,1034.60696,1169.515143,110.0401185,0.012630691,0.012586097,0.013149494,0.013149494,-0.79771271,2.837910267,84.29473611,1798.333534,0,361190,8175309
test,2303,134.21965,-16.5,68,7.157567193,0.000906062,0.108737219,178.2299798,178.2299798,216.5321462,178.2299798,46.40384213,46.40384213,49.69060463,49.69060463,294.3705002,1,1890.03755,1669.1677,953.0935154,1028.3642,1194.366902,90.91475588,0.014730383,0.014656934,0.013682327,0.013682327,8.657974857,2.681309992,79.470936,1798.387132,0,416718,8175595
test,2304,134.73988,-16.5,68,19.12793347,0.003750817,0.346811997,174.4639806,174.4639806,217.291044,174.4639806,46.18697031,46.18697031,52.52754145,52.52754145,245.6608,1,1895.35832,1659.4018,976.2862133,1024.76012,1221.620458,65.12586529,0.021127292,0.021010956,0.018251,0.018251,43.92521558,2.418154737,74.79832025,1798.256252,0,472240,8175738
test,2305,135.26012,-16.5,68,26.47085918,0.006381779,0.473181406,173.5147029,173.5147029,218.004183,173.5147029,45.44302695,45.44302695,52.78245992,52.78245992,156.768,1,1902.64168,1651.5982,1001.413799,1024.23988,1250.683533,31.54860179,0.035212199,0.035030505,0.029975057,0.029975057,58.27325216,2.04509062,72.1093363,1797.909764,0,527760,8175738
test,2306,135.78035,-16.5,68,29.18606202,0.007919608,0.50634518,175.3821833,175.3821833,218.6715359,175.3821833,44.1608264,44.1608264,50.44693903,50.44693903,100.0060002,1,1879.0864,1645.47685,1028.97995,1012.337447,1281.555012,5.336328634,0.043973717,0.043863994,0.038245934,0.038245934,32.97647259,1.600427799,71.40408752,1797.481696,0,583282,8175595
test,2307,136.30058,-16.5,68,26.53405465,0.008206139,0.465264255,179.6597923,179.6597923,219.2997238,179.6597923,42.4180567,42.4180567,45.89492653,45.89492653,139.0109999,1,1829.14432,1640.79478,1058.63306,990.6958915,1313.683536,-14.5746816,0.045707265,0.045776211,0.04244817,0.04244817,-0.351146863,1.160404994,71.07517489,1796.98382,0,638810,8175309
test,2308,136.82081,-16.5,68,19.95993762,0.00782432,0.390933171,181.1638261,181.1638261,218.1337724,181.1638261,41.12762904,41.12762904,42.98866844,42.98866844,70.71779965,1,1778.56062,1630.01732,1089.2486,951.1531226,1346.730651,-4.425994684,0.047110193,0.047305541,0.045585636,0.045585636,-12.12471803,0.814809123,71.02127136,1796.89659,0,694347,8174879
test,2309,137.34104,-16.5,68,18.72201405,0.007451245,0.329654878,180.9437666,180.9437666,215.8525587,180.9437666,40.11838356,40.11838356,41.10543442,41.10543442,101.906,1,1727.57808,1615.45088,1120.4624,900.4827079,1343.929309,24.40822201,0.0482979,0.048427054,0.047387517,0.047387517,-12.47192288,0.632740413,69.67265721,1797.064623,0,749898,8174306
test,2310,137.86127,-16.5,68,20.2878452,0.007805815,0.318092514,177.600328,177.600328,211.550932,177.600328,39.47402016,39.47402016,39.97364403,39.97364403,7.14760003,1,1676.95681,1595.10412,1154.20509,850.498715,1322.292389,14.62041294,0.018890238,0.018942527,0.018734954,0.018734954,-20.55713612,0.635805431,67.6437733,1796.90574,0,805466,8173589
test,2311,139.42197,-16.5,68,31.16867017,0.0088705,0.507447138,167.6026899,167.6026899,200.6724579,167.6026899,38.17008375,38.17008375,37.69002412,37.69002412,8.818199982,1,1526.49088,1531.96514,1263.38184,704.67876,1199.624637,138.5124095,0.011141999,0.011142989,0.011282991,0.011282991,31.51762362,1.214881445,62.60207526,1795.538258,0,972315,8170572
